ticket_id,customer_id,department,issue_type,priority,agent,channel,created_at,sla_due_at,closed_at,status,resolution_hours,previous_contacts,customer_message,customer_rating
TKT-00001,CUST-1733,Billing,Refund Delay,High,Liam,Chat,2025-03-13,2025-03-14 00:00:00,2025-03-13 22:00:00,Closed,22.0,0,I would like an update on my ticket.,3
TKT-00002,CUST-1367,Product Support,Payment Failure,Low,Priya,Email,2025-03-23,2025-03-26 00:00:00,2025-03-25 18:00:00,Closed,66.0,2,The issue was handled well.,4
TKT-00003,CUST-1081,Shipping,Subscription Cancellation,High,Ethan,Email,2025-07-13,2025-07-14 00:00:00,2025-07-13 22:00:00,Closed,22.0,2,The support team has been helpful so far.,5
TKT-00004,CUST-1473,Technical Support,Login Issue,Medium,Ethan,Phone,2025-03-25,2025-03-27 00:00:00,2025-03-28 05:00:00,Closed,77.0,1,Can you check the status of my request?,3
TKT-00005,CUST-1322,Account Management,Subscription Cancellation,Critical,Liam,Phone,2025-01-29,2025-01-29 08:00:00,2025-01-29 22:00:00,Closed,22.0,0,I want to cancel if this is not resolved today.,3
TKT-00006,CUST-1141,Technical Support,Product Question,Medium,Ethan,Chat,2025-05-16,2025-05-18 00:00:00,,Open,,0,I am having an issue and need assistance.,3
TKT-00007,CUST-1696,Product Support,Product Question,Low,Ava,Email,2025-03-20,2025-03-23 00:00:00,2025-03-21 08:00:00,Closed,32.0,1,I am having an issue and need assistance.,3
TKT-00008,CUST-1861,Billing,Subscription Cancellation,High,David,Email,2025-05-31,2025-06-01 00:00:00,2025-06-01 21:00:00,Escalated,45.0,2,I need help with my account.,4
TKT-00009,CUST-1899,Product Support,Account Verification,Low,Mia,Email,2025-11-03,2025-11-06 00:00:00,,Open,,2,I need help with my account.,3
TKT-00010,CUST-1987,Product Support,Login Issue,Low,Ethan,Email,2025-09-30,2025-10-03 00:00:00,2025-10-01 04:00:00,Escalated,28.0,0,I would like an update on my ticket.,4
TKT-00011,CUST-1072,Technical Support,Account Verification,High,Sarah,Phone,2025-08-13,2025-08-14 00:00:00,2025-08-14 08:00:00,Closed,32.0,1,Can you check the status of my request?,3
TKT-00012,CUST-1803,Billing,Account Verification,Low,Ava,Phone,2025-02-06,2025-02-09 00:00:00,2025-02-10 16:00:00,Closed,112.0,4,Please help me understand what happened.,3
TKT-00013,CUST-1819,Account Management,Payment Failure,Low,Noah,Web Form,2025-07-01,2025-07-04 00:00:00,2025-07-03 18:00:00,Closed,66.0,5,The issue was handled well.,5
TKT-00014,CUST-1992,Billing,Account Verification,Low,Ethan,Chat,2025-08-05,2025-08-08 00:00:00,2025-08-08 04:00:00,Closed,76.0,3,I need help with my account.,3
